Date,Adj Close,Close,High,Low,Open,Volume
30-03-2026,1316.397705,1341.599976,1359.199951,1336.199951,1350,5541018
01-04-2026,1328.957275,1354.400024,1399.699951,1349,1399.699951,2469237
02-04-2026,1375.859253,1402.199951,1412.800049,1341.199951,1347,6509389
06-04-2026,1376.938721,1403.300049,1422.300049,1394.099976,1397,2134581
07-04-2026,1414.519165,1441.599976,1446.5,1388.099976,1391,3459049
08-04-2026,1433.55481,1461,1466,1431.900024,1449.900024,4239052
09-04-2026,1437.38147,1464.900024,1469,1436,1458.900024,3101205
10-04-2026,1423.938843,1451.199951,1457.599976,1421.099976,1452,3450066
13-04-2026,1402.548462,1429.400024,1447.800049,1417.5,1441,2252652
15-04-2026,1424.036987,1451.300049,1474.900024,1437.099976,1445,3993858
16-04-2026,1422.957642,1450.199951,1468.699951,1435.099976,1460,5229848
17-04-2026,1415.206055,1442.300049,1458,1430,1443.300049,3319268
20-04-2026,1401.469116,1428.300049,1451.900024,1424,1445.900024,2352656
21-04-2026,1414.126709,1441.199951,1455,1422.400024,1430,3091487
22-04-2026,1261.155396,1285.300049,1358,1281,1345,33066256
23-04-2026,1253.599976,1277.599976,1294.300049,1272,1290,8304759
24-04-2026,1203.199951,1203.199951,1264.800049,1198.099976,1264.400024,10903519
27-04-2026,1228.199951,1228.199951,1232,1201,1209,6066942
28-04-2026,1196,1196,1232.699951,1192.300049,1227.900024,6643295
29-04-2026,1200.199951,1200.199951,1210.800049,1192.099976,1200,4777201
30-04-2026,1199.099976,1199.099976,1213.699951,1184,1200,5070033
01-05-2026,1199.099976,1199.099976,1199.099976,1199.099976,1199.099976,0
04-05-2026,1200.5,1200.5,1213.5,1191.400024,1208,3318673
05-05-2026,1200.199951,1200.199951,1205.400024,1190,1200,2459953
06-05-2026,1189.099976,1189.099976,1212,1186.400024,1208,3541520
07-05-2026,1183.400024,1183.400024,1196,1181.099976,1195,3725309
08-05-2026,1198.400024,1198.400024,1202.800049,1176.800049,1179.800049,2813749
11-05-2026,1194.900024,1194.900024,1206.300049,1191.099976,1196.900024,2505962
12-05-2026,1145.800049,1145.800049,1184,1142.599976,1183,3959561
13-05-2026,1143.199951,1143.199951,1154.599976,1137.099976,1146.300049,2635034
14-05-2026,1124,1124,1143.199951,1103.400024,1139,5837032
15-05-2026,1132.599976,1132.599976,1152,1121.800049,1121.900024,3729249
18-05-2026,1146.599976,1146.599976,1149.5,1121.400024,1129,2588569
19-05-2026,1179.400024,1179.400024,1198.300049,1152.300049,1156,5756760
20-05-2026,1169.800049,1169.800049,1181,1162.400024,1166.199951,1415960
21-05-2026,1168.199951,1168.199951,1180.599976,1163.199951,1173.699951,2245247
22-05-2026,1164,1164,1176,1159.900024,1169.900024,2044782
25-05-2026,1165.699951,1165.699951,1178,1162.099976,1168,1419803
26-05-2026,1161.900024,1161.900024,1173.699951,1160,1165.699951,1196820
